Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Number of Customers Affected,Alert Criteria
10/22/2014,10:46 PM,10/22/2014,10:47 PM,"New Hampshire, Maine, Massachusetts, Rhode Island, Connecticut, Vermont",NPCC,Severe Weather,"66,650",
6/23/2015,6:30 PM,6/24/2015,5:00 AM,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",NPCC,Severe Weather,"62,442","Loss of electric service to more than 50,000 customers for 1 hour or more"
8/4/2015,7:17 AM,8/5/2015,12:52 PM,Massachusetts: Rhode Island:,NPCC,Severe Weather,"132,000","Loss of electric service to more than 50,000 customers for 1 hour or more"
7/22/2016,11:50 PM,7/23/2016,9:10 AM,Massachusetts: Connecticut: Rhode Island: New Hampshire: Vermont: Maine,NPCC,Severe Weather,57058,"Loss of electric service to more than 50,000 customers for 1 hour or more"
7/23/2016,7:30 PM,7/24/2016,7:30 AM,Connecticut: Massachusetts: New Hampshire: Vermont: Rhode Island,NPCC,Severe Weather,101073,"Loss of electric service to more than 50,000 customers for 1 hour or more"
9/11/2016,12:05 PM,9/11/2016,3:10 PM,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,NPCC,Severe Weather,57960,"Loss of electric service to more than 50,000 customers for 1 hour or more"
2/9/2017,4:05 PM,2/10/2017,5:15 AM,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,11525,"Loss of electric service to more than 50,000 customers for 1 hour or more"
03/02/2017,12:20 PM,03/02/2017,11:45 PM,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,54316,"Loss of electric service to more than 50,000 customers for 1 hour or more"
10/29/2017,11:40 PM,11/01/2017,6:08 PM,Connecticut: Massachusetts: New Hampshire: Maine: Rhode Island: Vermont:,NPCC,Severe Weather,310453,"Loss of electric service to more than 50,000 customers for 1 hour or more"
03/02/2018,1:51 PM,03/05/2018,1:18 PM,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,325000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
03/07/2018,7:37 PM,03/10/2018,4:35 PM,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,102000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
03/13/2018,8:50 AM,03/14/2018,11:22 PM,Massachusetts: Rhode Island:,NPCC,Severe Weather,123629,"Loss of electric service to more than 50,000 customers for 1 hour or more"
04/05/2018,12:50 AM,04/05/2018,4:00 PM,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,65932,"Loss of electric service to more than 50,000 customers for 1 hour or more"
05/15/2018,6:35 PM,05/18/2018,3:57 PM,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,120000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
06/18/2018,6:20 PM,06/19/2018,12:15 AM,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,112927,"Loss of electric service to more than 50,000 customers for 1 hour or more"
10/16/2018,4:15 AM,10/16/2018,5:11 PM,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,NPCC,Severe Weather,18000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
11/03/2018,5:20 PM,11/04/2018,2:30 PM,Connecticut: Massachusetts: New Hampshire: Vermont: Maine: Rhode Island:,NPCC,Severe Weather,62000,"Loss of electric service to more than 50,000 customers for 1 hour or more."
02/25/2019,1:35 PM,02/26/2019,2:50 AM,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,Severe Weather,72332,"Loss of electric service to more than 50,000 customers for 1 hour or more."
07/23/2019,3:39 PM,07/23/2019,7:00 PM,Massachusetts:,NPCC,Severe Weather,54535,"Loss of electric service to more than 50,000 customers for 1 hour or more."
