,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Number of Customers Affected,Alert Criteria
197,2014-10-22,10:46 PM,2014-10-22,10:47 PM,"New Hampshire, Maine, Massachusetts, Rhode Island, Connecticut, Vermont",NPCC,Severe Weather,"66,650",
63,2015-06-23,6:30 PM,2015-06-24,5:00 AM,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",NPCC,Severe Weather,"62,442","Loss of electric service to more than 50,000 customers for 1 hour or more"
93,2015-08-04,7:17 AM,2015-08-05,12:52 PM,Massachusetts: Rhode Island:,NPCC,Severe Weather,"132,000","Loss of electric service to more than 50,000 customers for 1 hour or more"
72,2016-07-22,11:50 PM,2016-07-23,9:10 AM,Massachusetts: Connecticut: Rhode Island: New Hampshire: Vermont: Maine,NPCC,Severe Weather,57058,"Loss of electric service to more than 50,000 customers for 1 hour or more"
74,2016-07-23,7:30 PM,2016-07-24,7:30 AM,Connecticut: Massachusetts: New Hampshire: Vermont: Rhode Island,NPCC,Severe Weather,101073,"Loss of electric service to more than 50,000 customers for 1 hour or more"
100,2016-09-11,12:05 PM,2016-09-11,3:10 PM,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,NPCC,Severe Weather,57960,"Loss of electric service to more than 50,000 customers for 1 hour or more"
13,2017-02-09,4:05 PM,2017-02-10,5:15 AM,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,11525,"Loss of electric service to more than 50,000 customers for 1 hour or more"
22,2017-03-02,12:20 PM,2017-03-02,11:45 PM,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,54316,"Loss of electric service to more than 50,000 customers for 1 hour or more"
126,2017-10-29,11:40 PM,2017-11-01,6:08 PM,Connecticut: Massachusetts: New Hampshire: Maine: Rhode Island: Vermont:,NPCC,Severe Weather,310453,"Loss of electric service to more than 50,000 customers for 1 hour or more"
32,2018-03-02,1:51 PM,2018-03-05,1:18 PM,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,325000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
43,2018-03-07,7:37 PM,2018-03-10,4:35 PM,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,102000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
45,2018-03-13,8:50 AM,2018-03-14,11:22 PM,Massachusetts: Rhode Island:,NPCC,Severe Weather,123629,"Loss of electric service to more than 50,000 customers for 1 hour or more"
54,2018-04-05,12:50 AM,2018-04-05,4:00 PM,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,65932,"Loss of electric service to more than 50,000 customers for 1 hour or more"
75,2018-05-15,6:35 PM,2018-05-18,3:57 PM,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,120000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
87,2018-06-18,6:20 PM,2018-06-19,12:15 AM,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,112927,"Loss of electric service to more than 50,000 customers for 1 hour or more"
171,2018-10-16,4:15 AM,2018-10-16,5:11 PM,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,NPCC,Severe Weather,18000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
181,2018-11-03,5:20 PM,2018-11-04,2:30 PM,Connecticut: Massachusetts: New Hampshire: Vermont: Maine: Rhode Island:,NPCC,Severe Weather,62000,"Loss of electric service to more than 50,000 customers for 1 hour or more."
47,2019-02-25,1:35 PM,2019-02-26,2:50 AM,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",NPCC,Severe Weather,72332,"Loss of electric service to more than 50,000 customers for 1 hour or more."
156,2019-07-23,3:39 PM,2019-07-23,7:00 PM,Massachusetts:,NPCC,Severe Weather,54535,"Loss of electric service to more than 50,000 customers for 1 hour or more."
